from;to;weight
n17776;n17778;6
n5578;n9770;3
n5578;n929;2
n5578;n9982;2
n1835;n6278;2
n1835;n1664;7
n1835;n1791;2
n1835;n6435;2
n1835;n10037;4
n1835;n10697;3
n1835;n11486;2
n1835;n1931;3
n1835;n1682;2
n1835;n1715;4
n1835;n1644;2
n1835;n1628;3
n1835;n1950;2
n1835;n1643;3
n1835;n6235;2
n1835;n131;2
n1835;n1741;3
n1835;n6213;2
n1835;n141;3
n1835;n1920;2
n1835;n127;8
n1835;n1742;3
n1835;n1596;2
n1835;n1976;2
n1835;n1816;2
n1835;n1744;2
n1835;n1719;2
n1835;n11787;3
n1835;n3666;2
n1835;n1699;3
n1835;n6233;2
n1835;n1762;3
n1835;n1614;2
n1835;n1637;2
n1835;n1578;3
n1835;n1572;3
n1835;n1661;4
n1835;n1591;2
n1835;n1702;2
n1835;n1556;3
n1835;n1851;2
n1835;n1831;3
n1835;n11481;2
n1835;n162;5
n1835;n1785;2
n1835;n1995;8
n14790;n328;2
n8606;n11088;2
n8606;n4077;2
n8606;n3689;2
n8606;n614;4
n8606;n4043;2
n8606;n5548;3
n8606;n14108;2
n8606;n1534;3
n12376;n7786;2
n12376;n3031;2
n13981;n4006;2
n13981;n538;3
n13981;n4073;2
n13981;n1262;2
n13981;n8827;2
n13981;n8036;3
n13981;n3587;2
n17378;n17480;2
n17378;n16106;2
n14371;n7156;2
n14371;n15570;2
n14371;n13009;2
n14371;n7195;2
n14371;n15772;3
n14371;n2819;3
n14371;n7212;2
n14371;n14874;2
n14371;n7776;2
n14371;n441;2
n14371;n7213;2
n14371;n13619;2
n9504;n1131;2
n9504;n14667;2
n9504;n14651;2
n9504;n9150;2
n9504;n8074;2
n5072;n5058;2
n5072;n5062;2
n5072;n5051;2
n5072;n5050;4
n5072;n1129;2
n5072;n5047;3
n5072;n5077;2
n5072;n5060;2
n5072;n5056;3
n5072;n5052;2
n5072;n5066;2
n5072;n15171;2
n5072;n5049;2
n5072;n5044;2
n1523;n11767;2
n1523;n4517;4
n1523;n11772;2
n1523;n10192;2
n1523;n10231;2
n1523;n12800;3
n1523;n8026;3
n1523;n4522;3
n1523;n10205;2
n1523;n9606;2
n3382;n3360;2
n3382;n490;2
n3382;n3311;2
n2300;n1987;2
n2300;n2316;4
n2300;n184;3
n2300;n12970;2
n2300;n13006;2
n2300;n166;4
n2300;n1728;2
n2300;n1950;2
n2300;n12458;6
n2300;n3067;5
n2300;n6318;3
n2300;n164;2
n2300;n6249;2
n2300;n2304;2
n2300;n1898;2
n2300;n1626;3
n2300;n1637;2
n2300;n7547;2
n2300;n2297;4
n2300;n1676;3
n2300;n3679;3
n2300;n2320;2
n2300;n1565;3
n2300;n2313;5
n2300;n199;4
n2300;n163;3
n2300;n173;2
n2300;n2331;17
n2300;n2273;2
n2300;n2323;2
n2300;n162;3
n402;n15067;3
n402;n1153;2
n402;n2607;2
n3423;n10579;3
n3423;n17779;3
n3423;n11307;2
n3423;n5678;2
n3423;n4317;2
n3423;n3884;2
n3423;n701;2
n3423;n6963;3
n3423;n12633;2
n3423;n8699;2
n3423;n3533;2
n3423;n5745;2
n3423;n4279;3
n3423;n6691;2
n3423;n13403;3
n3423;n10644;2
n3423;n3310;2
n3423;n2018;2
n3423;n396;2
n11385;n7081;2
n11385;n11383;2
n11385;n2719;2
n11385;n11384;2
n11385;n2132;2
n11385;n11040;2
n11385;n11238;2
n11385;n11306;2
n11385;n5643;2
n6198;n1688;5
n6198;n1950;2
n2235;n9677;2
n2235;n5144;2
n2235;n8953;2
n2235;n9521;3
n2235;n4561;2
n2235;n12883;2
n2235;n9657;2
n2235;n285;8
n2235;n9658;2
n2235;n9663;6
n2235;n974;2
n2235;n5147;2
n2235;n5096;2
n2235;n9536;2
n2235;n2227;2
n2235;n9671;2
n2235;n1261;3
n2235;n10346;2
n2235;n9665;2
n2235;n2238;2
n2235;n9661;2
n2235;n9662;2
n2235;n5111;2
n2235;n12888;2
n2235;n12132;2
n2235;n13669;2
n2235;n52;2
n2235;n9691;2
n2235;n990;2
n2235;n13462;2
n2235;n5119;2
n11494;n1662;2
n11494;n10033;4
n11494;n1835;2
n11494;n6247;2
n11494;n11486;3
n11494;n1680;2
n11494;n1639;2
n11494;n1711;2
n11494;n11481;2
n11494;n3665;2
n11494;n1995;2
n11494;n1718;3
n11494;n208;2
n11494;n11492;2
n3409;n3405;2
n3409;n2076;2
n3409;n3223;2
n3409;n8625;2
n8675;n11076;2
n8181;n1324;2
n8181;n1325;2
n8181;n1291;4
n8181;n1343;2
n8181;n1385;2
n8181;n8159;3
n8181;n1342;2
n8181;n2447;2
n8181;n8267;3
n8181;n2391;2
n8181;n2388;2
n8181;n1393;2
n8181;n8225;2
n8181;n8190;2
n8181;n2408;6
n8181;n8157;4
n8181;n6184;2
n8181;n6703;4
n8181;n9633;2
n8181;n2446;10
n8181;n1421;2
n8181;n8213;2
n14890;n12516;3
n14890;n7538;3
n14890;n11782;2
n14890;n1869;2
n4243;n6953;2
n4243;n3519;2
n4243;n1231;2
n4243;n3191;2
n4243;n8768;2
n4243;n5729;2
n4243;n12236;2
n4243;n10652;3
n4243;n3262;2
n4243;n7765;2
n4243;n3351;2
n4243;n7486;2
n4243;n3615;2
n4243;n5758;2
n4243;n3643;2
n4243;n9425;3
n4243;n5686;2
n4243;n751;2
n4243;n547;2
n8193;n2386;2
n8193;n8223;2
n8193;n8199;2
n8193;n1330;2
n8193;n6054;2
n15647;n6474;2
n15647;n15645;6
n15647;n14791;3
n15647;n15646;5
n15647;n11123;2
n15647;n10951;3
n15647;n6472;2
n15647;n7964;3
n15647;n15649;7
n15647;n8324;6
n15647;n14814;4
n15647;n15652;2
n15647;n15648;2
n15647;n10367;3
n15647;n3319;10
n15647;n11417;9
n15647;n9517;2
n15647;n15656;5
n15647;n9000;2
n15647;n4018;2
n930;n7088;4
n930;n862;2
n930;n896;5
n930;n7912;4
n930;n7901;2
n930;n9718;2
n930;n7838;3
n930;n7849;3
n930;n11254;2
n930;n834;2
n930;n7095;5
n930;n9759;2
n930;n920;2
n930;n805;2
n930;n7083;3
n930;n7959;3
n930;n929;2
n930;n866;2
n930;n9982;2
n930;n8545;2
n930;n10405;2
n930;n886;2
n930;n8165;2
n930;n9709;2
n930;n9981;3
n930;n8543;2
n16323;n12035;2
n16323;n4338;2
n16323;n570;2
n16323;n3292;2
n8351;n1215;4
n8351;n8457;2
n8351;n1212;2
n8351;n4992;2
n13502;n5833;3
n13502;n13425;2
n29;n15300;2
n29;n16701;2
n29;n35;2
n29;n11;2
n29;n16571;2
n29;n27;2
n29;n14;2
n29;n15298;3
n29;n15294;2
n29;n9;2
n29;n25;2
n29;n17;2
n29;n16693;3
n10707;n1920;2
n10707;n162;2
n10707;n1716;2
n10707;n1688;3
n10707;n10697;2
n15871;n12891;2
n15871;n1023;2
n15871;n1017;2
n14343;n8040;2
n14343;n10743;2
n1732;n6410;3
n1732;n150;2
n1732;n1722;2
n1732;n153;5
n1732;n11480;3
n1732;n1711;2
n1732;n1591;2
n1732;n1741;2
n1732;n131;3
n1732;n2289;3
n1732;n163;3
n1732;n1725;2
n1732;n1572;4
n1732;n1730;2
n1732;n1718;2
n1732;n1995;2
n1732;n1849;2
n1732;n14694;2
n1732;n6253;2
n1732;n162;3
n1732;n127;5
n1732;n141;2
n1732;n157;2
n1732;n10033;2
n1732;n1731;2
n1732;n1699;2
n1732;n124;2
n1732;n12819;2
n1732;n1975;3
n1732;n6278;2
n1732;n186;2
n1732;n6235;2
n1732;n10029;2
n1732;n63;2
n1732;n1876;2
n1732;n1706;2
n1732;n6247;2
n1732;n1982;2
n9185;n1017;2
n9185;n9116;2
n9185;n12898;2
n9185;n9190;2
n590;n570;2
n590;n577;2
n10421;n10109;2
n10421;n6353;2
n10421;n10424;3
n10421;n10420;2
n10421;n10426;3
n8701;n5599;2
n8701;n467;2
n8701;n2614;2
n8701;n2623;2
n8701;n14482;3
n8701;n396;2
n8701;n8697;2
n8701;n11379;2
n8701;n6688;2
n8701;n5000;2
n8701;n1260;2
n8701;n11588;2
n8701;n3555;2
n8701;n3574;2
n8701;n8491;3
n8701;n8724;2
n8701;n2613;2
n8701;n643;2
n8701;n8107;2
n8701;n9049;2
n8701;n7678;2
n8701;n9709;2
n8701;n3533;3
n8701;n553;2
n8701;n11238;2
n8701;n701;3
n8701;n4393;2
n8701;n3254;2
n8701;n3886;2
n8701;n3989;2
n8701;n3884;2
n3174;n9328;2
n3174;n9241;2
n3174;n2728;2
n3174;n9074;2
n3174;n3292;2
n3174;n11792;2
n3174;n3361;2
n3174;n2993;2
n3174;n2897;2
n3174;n3185;3
n16339;n6092;2
n16339;n4869;8
n16339;n9141;6
n16339;n9142;8
n16339;n6388;2
n16339;n13441;3
n12287;n11166;2
n12287;n5940;2
n12287;n6010;2
n12287;n5822;2
n12287;n5920;2
n12287;n15892;2
n12287;n14473;2
n15556;n17104;2
n10189;n9923;3
n10189;n10192;2
n10189;n9948;2
n10189;n10180;2
n10189;n10191;2
n6826;n14605;2
n6826;n301;2
n6826;n2260;4
n6826;n15867;4
n6826;n13677;2
n6826;n13670;3
n6826;n8959;2
n6826;n11426;3
n6826;n1002;2
n6826;n2201;3
n6826;n1476;2
n6826;n5136;2
n6826;n6825;2
n6826;n237;2
n6826;n2146;2
n6826;n2226;2
n6826;n4472;2
n6826;n2211;3
n6826;n273;2
n6826;n2155;2
n6826;n2199;2
n6826;n15475;2
n6826;n8954;2
n6826;n13679;2
n6826;n2152;2
n6826;n14672;3
n6826;n13673;3
n6826;n10334;2
n6826;n9129;2
n6826;n13676;2
n17291;n16489;6
n17291;n17721;4
n17291;n5340;2
n17291;n3003;2
n17291;n7605;3
n7511;n7496;2
n7511;n9276;2
n13242;n13199;4
n13242;n10290;2
n13242;n13240;4
n13242;n13229;4
n13242;n13174;8
n13242;n13224;7
n13242;n13727;3
n13242;n13198;3
n13242;n14956;2
n13242;n12117;5
n13242;n14981;2
n13242;n13244;3
n13242;n14977;8
n13242;n10281;10
n13242;n13179;5
n13242;n10291;2
n13242;n13175;2
n13242;n13185;14
n13242;n14962;8
n13242;n13741;3
n13242;n13171;3
n13242;n13186;7
n13242;n14960;5
n13242;n13181;11
n13242;n13725;4
n13242;n13169;5
n13242;n16154;2
n13242;n13243;9
n13242;n14958;2
n13242;n13239;2
n13242;n13227;4
n13242;n16166;4
n13242;n13170;5
n13242;n13204;3
n13242;n14970;4
n13242;n13222;8
n13242;n14969;3
n13242;n13196;17
n13242;n13766;3
n13242;n14947;4
n13242;n14959;4
n13242;n13220;2
n13242;n13193;4
n13242;n13203;9
n13242;n13223;5
n13242;n16152;4
n13242;n13230;3
n13242;n13207;2
n13242;n14957;2
n13242;n13180;3
n13242;n13226;2
n13242;n13238;7
n13242;n16157;2
n13242;n16165;3
n13242;n13234;3
n13242;n14967;7
n13242;n13172;7
n13242;n13166;4
n13242;n13761;2
n13242;n14964;2
n13242;n13167;6
n13242;n13190;3
n13242;n13209;4
n13242;n13178;8
n13242;n13769;2
n13242;n14983;3
n13242;n16171;3
n13242;n13182;2
n13242;n13176;2
n13242;n13722;13
n13242;n13200;7
n13242;n13246;2
n13242;n13729;6
n13242;n14978;4
n13242;n14971;2
n13242;n13214;3
n13242;n13232;5
n13242;n13211;8
n13242;n13726;3
n13242;n13195;13
n13242;n14976;2
n13242;n13744;3
n13242;n14951;5
n13242;n13187;2
n13242;n13212;3
n13242;n13225;3
n13242;n13237;3
n13242;n13742;3
n13242;n13201;4
n13242;n13206;2
n13242;n16163;2
n13242;n13183;2
n13242;n13724;3
n13242;n13216;2
n13242;n13235;4
n13242;n13770;9
n13242;n13231;7
n13242;n13218;2
n13242;n13197;7
n13242;n13241;7
n13242;n13248;2
n13242;n14953;3
n13242;n13184;6
n13242;n13723;2
n13242;n13208;7
n13242;n5488;2
n13242;n13217;2
n13242;n13221;2
n3633;n3630;2
n3633;n3632;2
n3633;n16064;2
n11175;n4637;2
n11175;n13428;2
n11175;n11837;3
n11175;n11853;2
n1408;n6736;6
n1408;n6683;10
n1408;n2449;4
n1408;n2372;2
n1408;n8136;7
n1408;n6681;12
n1408;n8150;6
n1408;n1405;2
n1408;n2396;5
n1408;n8797;2
n1408;n1393;40
n1408;n8524;5
n1408;n6679;23
n1408;n2418;2
n1408;n2422;2
n1408;n8283;4
n1408;n8130;5
n1408;n6701;9
n1408;n2388;2
n1408;n2448;13
n1408;n6699;13
n1408;n6700;21
n1408;n8149;2
n1408;n8528;6
n1408;n2431;21
n1408;n1411;7
n1408;n1384;3
n1408;n4342;4
n1408;n2452;2
n1408;n1336;8
n1408;n4318;2
n1408;n1321;3
n1408;n1394;39
n1408;n8185;4
n1408;n6730;6
n1408;n8154;4
n1408;n1429;4
n1408;n2405;2
n1408;n1315;4
n1408;n1427;25
n1408;n1424;7
n1408;n1423;9
n1408;n6677;6
n1408;n2416;13
n1408;n1355;2
n1408;n8133;4
n1408;n8522;3
n1408;n2451;5
n1408;n2377;19
n1408;n4292;2
n1408;n8140;2
n1408;n4387;2
n1408;n4277;2
n1408;n8157;2
n1408;n1309;2
n1408;n1381;8
n1408;n1410;8
n1408;n6184;3
n1408;n2436;25
n1408;n4260;2
n1408;n8801;5
n1408;n1397;11
n1408;n2378;30
n1408;n1432;7
n1408;n7298;2
n1408;n6739;14
n1408;n6671;5
n1408;n1371;2
n1408;n8300;4
n1408;n6676;5
n1408;n6674;8
n1408;n4346;2
n1408;n4307;3
n1408;n1313;5
n1408;n1296;3
n1408;n8148;2
n1408;n2441;19
n1408;n4397;7
n1408;n1380;2
n1408;n1415;9
n1408;n1413;23
n1408;n8415;2
n1408;n2417;4
n1408;n8531;5
n1408;n2434;22
n1408;n6672;12
n1408;n2376;18
n1408;n8527;5
n1408;n8132;5
n1408;n1335;3
n1408;n6682;17
n1408;n4314;4
n1408;n4320;3
n1408;n5014;3
n1408;n2450;10
n1408;n15206;2
n1408;n6101;2
n1408;n6678;4
n1408;n8129;6
n1408;n2415;8
n1408;n8532;6
n1408;n6698;2
n1408;n1390;14
n1408;n8151;2
n1408;n2413;4
n1408;n1365;2
n1408;n1356;2
n1408;n2445;2
n1408;n8199;6
n1408;n8530;5
n1408;n6684;9
n1408;n1295;3
n1408;n1330;2
n1408;n1374;2
n1408;n1433;2
n1408;n2380;4
n1408;n1398;20
n1408;n4279;2
n1408;n1425;23
n1408;n6691;2
n1408;n8270;2
n1408;n6740;5
n1408;n1428;2
n1408;n8526;4
n1408;n2391;3
n1408;n8131;6
n1408;n6675;8
n1408;n2433;4
n1408;n1389;21
n1408;n2374;4
n1408;n1420;22
n1408;n1392;26
n1408;n16838;2
n1408;n8521;7
n1408;n8523;5
n1408;n2407;3
n1408;n3839;20
n1408;n1412;4
n1408;n1406;20
n1408;n8529;4
n1408;n4276;12
n1408;n1367;6
n1408;n8156;3
n1408;n10644;2
n1408;n1306;2
n1408;n8153;4
n1408;n8239;2
n1408;n8803;6
n1408;n2439;3
n1408;n1422;11
n1408;n3812;11
n1408;n3310;2
n1408;n1362;6
n1408;n2421;4
n1408;n4322;2
n1408;n1421;24
n1408;n3852;4
n1408;n1322;2
n1408;n1314;2
n1408;n2022;2
n1408;n2369;2
n1408;n8200;3
n1408;n1409;3
n1408;n1293;17
n1408;n8525;5
n1408;n2443;25
n1408;n4385;2
n1408;n1291;10
n1408;n6741;6
n1408;n1308;3
n1408;n1325;4
n1408;n8228;6
n1408;n3851;2
n1408;n12642;2
n1408;n1386;34
n1408;n1366;7
n1408;n4268;2
n1408;n2437;20
n1408;n2432;5
n1408;n1302;3
n1408;n8778;2
n1408;n6750;4
n1408;n2444;15
n1408;n1416;34
n1408;n3850;9
n1408;n1414;2
n1408;n2404;2
n1408;n6673;15
n1408;n3842;20
n1408;n6751;4
n1408;n8152;3
n1408;n6726;13
n1408;n1431;10
n1408;n4319;2
n1408;n1430;2
n1408;n4316;2
n1408;n8135;8
n1408;n8163;5
n1408;n6680;6
n1408;n2018;2
n1408;n8137;2
n1408;n2442;15
n1408;n4329;2
n1408;n1343;2
n1408;n4332;4
n1408;n1400;2
n1408;n6743;4
n1408;n8158;2
n1408;n6702;2
n1408;n1385;40
n16773;n13512;2
n16773;n2304;2
n1443;n1188;2
n1443;n13131;2
n1443;n13945;2
n1443;n4381;3
n2593;n2590;2
n2593;n2591;2
n2593;n2568;2
n2593;n1543;2
n2593;n2530;2
n1962;n1642;2
n1962;n11947;2
n1962;n1811;2
n1962;n1960;2
n1962;n151;2
n1962;n208;2
n1962;n167;4
n1962;n1572;5
n1962;n163;2
n1962;n2289;2
n1962;n1636;2
n1962;n131;4
n1962;n1741;2
n1962;n110;2
n1962;n106;3
n1962;n1674;2
n1962;n130;5
n1962;n1952;2
n1962;n161;2
n1962;n14715;2
n1962;n1771;2
n1962;n1645;2
n1962;n63;4
n1962;n1566;2
n1962;n1988;2
n1962;n1750;4
n1962;n1673;2
n1962;n1578;2
n1962;n6265;2
n1962;n186;3
n1962;n87;2
n1962;n1769;8
n1962;n1961;3
n1962;n76;2
n1962;n124;2
n1962;n1723;2
n1962;n1606;2
n1962;n1958;2
n1962;n176;2
n1962;n157;2
n1962;n6340;2
n1962;n148;2
n5653;n2004;3
n5653;n679;2
n5653;n5717;3
n5653;n6501;2
n5653;n10883;2
n5653;n5489;2
n5653;n9240;3
n5653;n5589;2
n5653;n7287;2
n5653;n15373;2
n5653;n5527;2
n5653;n9067;4
n5653;n5616;3
n5653;n13347;2
n5653;n7164;3
n5653;n5668;2
n5653;n15288;2
n5653;n2610;2
n5653;n10164;2
n5653;n7160;2
n5653;n16467;3
n5653;n638;3
n5653;n11561;2
n5653;n5627;3
n5653;n3980;2
n5653;n12411;3
n5653;n3586;2
n5653;n3213;2
n5653;n7586;2
n5653;n8573;2
n1404;n1401;3
n1404;n1405;3
n1404;n8554;3
n1404;n2388;2
n1404;n1328;2
n1404;n8243;2
n1404;n6184;2
n1404;n1314;2
n1404;n6182;2
n1404;n8251;2
n1404;n1306;2
n1404;n1429;2
n1404;n8185;2
n1404;n8534;2
n1404;n8525;2
n1404;n1361;2
n1404;n2363;2
n1404;n1388;2
n1404;n8248;2
n1404;n1400;2
n1404;n1340;2
n1404;n8212;2
n1404;n2368;2
n1404;n1327;2
n6131;n10398;2
n6131;n1227;2
n6131;n392;3
n6131;n3186;2
n6131;n2962;2
n6131;n701;4
n6131;n9105;2
n6131;n9276;2
n14311;n5326;2
n6857;n9299;2
n6857;n3302;3
n6857;n4955;2
n6857;n6892;2
n6857;n5660;3
n6857;n2046;2
n6857;n404;3
n6857;n6855;2
n6857;n6758;2
n6857;n4011;2
n6857;n6670;2
n6857;n9424;2
n6857;n7767;5
n3264;n5000;2
n3264;n3256;2
n3264;n3260;2
n3264;n3907;2
n3264;n735;2
n3264;n3268;9
n3264;n2599;2
n3264;n3273;8
n3264;n5633;2
n3264;n3374;2
n3264;n569;3
n3264;n2883;2
n3264;n1275;3
n3264;n8739;2
n3264;n6481;2
n3264;n5735;2
n3264;n12248;2
n3264;n2614;2
n3264;n682;2
n3264;n9339;2
n3264;n3295;2
n3264;n9135;5
n3264;n9350;2
n3264;n4429;2
n3264;n2801;8
n3264;n5631;2
n3264;n3314;2
n3264;n3321;2
n3264;n556;3
n3264;n3279;2
n3264;n9325;2
n3264;n3142;3
n3264;n529;2
n3264;n13397;2
n3264;n9014;5
n3264;n2882;2
n3264;n538;2
n3264;n2866;2
n3264;n7685;2
n3264;n7983;3
n3264;n15706;4
n3264;n2716;7
n3264;n2080;4
n3264;n2714;3
n3264;n5702;3
n3264;n7316;2
n3264;n763;2
n3264;n9257;2
n3264;n7118;2
n3264;n7769;2
n3264;n5662;3
n3264;n2674;3
n3264;n7746;2
n3264;n3274;9
n3264;n600;8
n3264;n1451;5
n3264;n2683;2
n3264;n3248;2
n3264;n3213;2
n3264;n707;2
n3264;n2856;2
n3264;n3253;2
n3264;n15802;2
n3264;n3254;2
n3264;n1529;3
n3264;n1459;2
n3264;n3925;2
n3264;n7446;2
n3264;n2610;2
n3264;n10627;2
n3264;n3300;2
n3264;n9331;2
n3264;n15284;2
n3264;n2126;4
n3264;n401;2
n3264;n9332;2
n3264;n2899;2
n3264;n4523;2
n3264;n12206;2
n3264;n527;3
n3264;n3950;2
n3264;n13323;3
n3264;n9007;2
n3264;n7508;2
n3264;n648;3
n3264;n16385;2
n3264;n5680;2
n3264;n9337;2
n3264;n385;2
n3264;n484;5
n3264;n9329;4
n3264;n3235;5
n3264;n574;4
n3264;n8435;2
n3264;n15208;2
n3264;n2664;2
n3264;n3182;2
n3264;n3252;2
n3264;n7241;2
n3264;n3939;3
n3264;n8438;2
n3264;n3561;4
n3264;n3296;2
n3264;n689;2
n3264;n9336;2
n3264;n12670;2
n3264;n11073;3
n3264;n2056;3
n3264;n670;2
n3264;n3310;8
n3264;n388;2
n3264;n3354;2
n3264;n528;2
n3264;n3284;2
n3264;n9326;3
n3264;n640;2
n3264;n7490;2
n3264;n2658;2
n3264;n3290;2
n3264;n2678;2
n3264;n566;2
n3264;n1210;2
n3264;n4259;2
n3264;n701;2
n3264;n3225;2
n3264;n1064;2
n3264;n5903;3
n3264;n3297;2
n3264;n12126;2
n3264;n790;2
n3264;n8140;3
n3264;n578;2
n3264;n3309;2
n3264;n3308;2
n3264;n2662;2
n3264;n3929;2
n3264;n8442;3
n3264;n3280;2
n3264;n661;2
n3264;n1171;4
n3264;n565;2
n3264;n558;3
n3264;n11797;2
n3264;n4887;4
n3264;n503;4
n3264;n2926;2
n15227;n63;3
n15227;n17093;2
n15227;n3424;3
n15227;n1262;2
n15227;n2819;2
n16007;n16006;9
n16007;n16005;2
n16007;n16042;3
n16007;n16618;3
n16007;n1044;2
n16007;n16044;2
n16007;n16046;2
n16007;n16010;6
n16007;n16045;5
n16007;n15994;4
n16007;n16061;5
n16007;n16051;2
n16007;n16011;5
n16007;n15996;2
n16007;n15995;5
n16007;n16048;4
n16007;n15998;9
n16007;n15997;5
n16007;n15999;4
n16007;n16454;2
n16007;n1045;2
n16007;n16003;3
n16007;n16002;2
n16007;n16038;5
n16007;n16001;3
n16007;n16004;4
n16007;n12799;5
n16007;n1050;6
n16007;n16041;4
n16007;n16063;4
n16007;n16021;4
n16007;n16022;6
n16007;n16054;5
n16007;n16031;3
n16007;n16453;4
n16007;n1043;2
n16007;n14446;3
n16007;n16023;6
n16007;n16024;6
n16007;n16025;3
n16007;n1093;2
n16007;n16030;4
n16007;n10339;2
n16007;n16027;5
n16007;n16026;5
n16007;n16058;4
n16007;n16013;3
n16007;n16037;5
n16007;n16012;3
n16007;n16047;2
n16007;n16062;2
n16007;n16017;2
n16007;n16016;3
n16007;n16015;3
n16007;n16014;5
n16007;n16034;2
n16007;n16020;4
n16007;n16018;3
n16007;n1081;2
n16007;n1128;2
n16007;n16616;2
n16007;n16028;4
n16007;n16055;4
n16007;n16060;3
n16007;n16040;4
n16007;n16033;6
n7542;n6249;2
n7542;n2333;3
n7542;n6259;2
n7542;n12004;2
n7542;n2322;2
n7542;n13021;4
n7542;n12005;4
n7542;n1864;2
n7542;n1645;2
n7542;n6226;2
n7542;n1626;6
n7542;n117;2
n7542;n7193;2
n7542;n7191;5
n7542;n7517;3
n7542;n499;8
n7542;n3067;2
n7542;n1565;3
n7542;n10068;2
n7542;n2305;2
n7542;n6422;2
n7542;n7189;5
n7542;n162;2
n7542;n164;6
n1010;n14665;2
n1010;n5984;2
n1010;n2257;2
n1010;n6634;2
n1010;n9661;2
n7268;n3884;2
n7268;n6673;2
n8439;n10722;2
n8439;n6876;2
n8439;n10729;2
n8439;n3304;2
n8439;n2607;2
n5994;n5996;2
n5994;n10746;2
n4582;n12110;3
n4582;n4440;2
n4582;n4496;2
n4582;n15967;3
n4582;n4583;2
n4582;n4572;2
n4582;n4484;2
n4582;n15965;2
n4582;n12085;4
n4582;n4476;2
n4582;n12113;2
n4582;n12111;2
n4582;n10490;2
n4582;n4575;2
n4582;n12099;2
n7708;n10730;2
n7708;n10652;2
n7708;n7049;2
n7708;n10731;2
n7708;n7353;2
n7708;n16915;2
n7708;n10729;2
n7708;n559;2
n7708;n4852;2
n871;n7876;3
n871;n7915;2
n871;n872;4
n871;n866;2
n871;n835;2
n871;n932;2
n871;n7912;2
n871;n9718;2
n871;n854;3
n871;n9724;2
n871;n809;2
n871;n10405;2
n871;n8247;2
n871;n9973;2
n871;n7868;2
n2097;n7716;2
n2097;n441;2
n2097;n2089;2
n2097;n3798;2
n5778;n5780;2
n5778;n6142;2
n5778;n1525;2
n5778;n2869;2
n9608;n14441;2
n9608;n8073;2
n9608;n15336;3
n9608;n1086;2
n9608;n14445;2
n7405;n9950;3
n7405;n10327;4
n7405;n10338;2
n7405;n14336;2
n7405;n10748;3
n7405;n46;3
n7405;n13485;4
n7405;n12192;4
n7405;n7335;4
n7405;n14342;4
n7405;n44;4
n7405;n3076;2
n7405;n15438;4
n7405;n17247;4
n7405;n12594;2
n7405;n17484;4
n14121;n1531;2
n10017;n13858;2
n10017;n3884;2
n6258;n14721;2
n6258;n3361;2
n17428;n15236;2
n369;n379;2
n369;n17148;2
n369;n14283;3
n369;n7670;2
n369;n357;2
n369;n366;3
n369;n15241;2
n369;n372;2
n369;n14285;2
n369;n15244;2
n369;n7651;3
n369;n360;3
n369;n345;2
n369;n368;3
n369;n373;2
n15866;n9150;2
n15866;n5126;2
n15866;n237;2
n6361;n6156;2
n6361;n16545;2
n6361;n9605;2
n6361;n5808;2
n15531;n2550;4
n15531;n6597;2
n15531;n1482;2
n15531;n5865;3
n15531;n12269;2
n15531;n12547;4
n15531;n2509;2
n14510;n2750;2
n14510;n3052;2
n7830;n872;4
n7830;n873;2
n7830;n7832;2
n7830;n9975;2
n7830;n14381;2
n7830;n9982;2
n7830;n11302;3
n7830;n7091;2
n7830;n14162;2
n7830;n768;3
n7830;n856;2
n7830;n7829;3
n7830;n9979;2
n7830;n9720;2
n7830;n13795;2
n7830;n12415;2
n7830;n7870;3
n7830;n8684;3
n7830;n860;2
n7830;n7850;3
n7830;n15335;2
n7830;n9981;4
n7830;n916;2
n7830;n930;2
n7830;n940;2
n7830;n808;2
n7830;n7866;2
n7830;n9069;2
n7830;n3199;2
n7830;n7876;2
n7830;n13796;2
n7830;n896;2
n7830;n7880;2
n7830;n15880;2
n7830;n7851;2
n7830;n7388;2
n7830;n7831;2
n7830;n6993;2
n7830;n920;2
n7830;n919;2
n7830;n11300;2
n7830;n13410;2
n7830;n6903;3
n7830;n827;3
n7830;n8345;3
n7830;n7968;2
n7830;n13383;2
n7830;n9772;2
n7830;n879;2
n10060;n7538;4
n10060;n2286;4
n10060;n2323;2
n10060;n162;2
n15231;n3399;2
n1755;n1889;3
n1755;n1645;2
n1755;n1673;2
n1755;n10028;2
n1755;n81;2
n1755;n1759;2
n1755;n1619;3
n1755;n1664;3
n1755;n2341;2
n1755;n1756;5
n1755;n11495;2
n1755;n157;2
n1755;n153;4
n12269;n5865;4
n12269;n2550;2
n3126;n3516;2
n3126;n5604;2
n4368;n6832;2
n4368;n13136;2
n4368;n1950;2
n4368;n890;2
n4368;n6643;4
n4368;n6801;3
n4368;n6892;2
n4368;n4450;2
n531;n10602;2
n531;n2072;2
n531;n3142;3
n531;n384;2
n531;n701;2
n531;n15450;2
n13806;n5253;2
n13806;n5318;2
n13806;n13805;2
n13806;n5232;2
n13806;n13816;2
n13806;n12827;3
n13806;n5293;2
n13806;n5322;2
n13806;n5228;2
n13806;n5260;3
n10832;n10815;3
n10832;n17166;3
n10832;n12074;3
n10832;n12073;2
n10832;n17165;4
n10832;n10829;7
n10832;n17153;2
n10832;n15765;2
n10832;n10564;5
n10832;n10796;3
n10832;n12085;2
