id;ActorName;movies_95_04;main_genre;genres
n5908;von Zglinicki, Simone;18;Crime;Comedy:1,Crime:7,Drama:4,Family:1,NULL:1,Romance:2,Short:1,Thriller:1
n754;Brolin, James;32;Drama;Documentary:4,Drama:7,Family:1,Horror:1,Music:1,Mystery:2,NULL:7,Romance:1,Sci-Fi:2,Short:1,Thriller:5
n15862;Denarnaud, Marie;10;Drama;Comedy:1,Drama:4,NULL:3,Short:2
n1079;Krstovic, Miodrag;14;Drama;Comedy:1,Drama:7,Horror:1,NULL:1,Romance:2,Thriller:1,War:1
n11598;Chinlund, Nick;22;Thriller;Comedy:2,Crime:1,Drama:4,Mystery:2,NULL:1,Romance:2,Short:3,Thriller:6,Western:1
n15758;Luján, Fernando;11;Drama;Comedy:2,Drama:3,Musical:1,NULL:3,Romance:2
n16579;Raynal, Blanche;13;Drama;Comedy:3,Drama:4,NULL:3,Short:1,Thriller:2
n6189;Vantasia;19;Adult;Adult:12,NULL:7
n15894;Peignien, Virginie;10;Crime;Crime:1,Drama:1,NULL:7,Romance:1
n13260;May, Roger (I);11;Drama;Adventure:1,Documentary:1,Drama:3,NULL:5,War:1
n13817;Stephensen, Ole;13;Family;Documentary:2,Drama:2,Family:4,Music:3,NULL:2
n8333;Mao, Tse-tung;16;Drama;Documentary:11,Drama:1,Music:1,NULL:1,Short:1,War:1
n5441;Steiner, Rick (I);11;Action;Action:7,Documentary:1,NULL:3
n4649;Brüggemann, Anna;24;Drama;Comedy:2,Crime:5,Drama:7,NULL:4,Romance:1,Sci-Fi:1,Short:2,Thriller:2
n3086;Matz, Matthias;11;Crime;Crime:3,Drama:1,NULL:4,Romance:1,Sci-Fi:1,Thriller:1
n16679;Zaragoza, Jessa;11;Action;Action:4,Comedy:2,Drama:2,Fantasy:1,Musical:1,Romance:1
n15999;Zablacanski, Milenko;11;Comedy;Comedy:5,Drama:2,Family:1,NULL:3
n11011;Ward, Jeff (I);10;Drama;Comedy:1,Crime:1,Documentary:1,Drama:2,Horror:1,Romance:1,Sci-Fi:1,Short:2
n7653;Molina, Bojo;10;Drama;Comedy:1,Drama:4,Family:1,NULL:1,Romance:2,Thriller:1
n12517;Ashe, Danni;20;Adult;Adult:9,Documentary:1,NULL:9,Romance:1
n8880;Elmosnino, Eric;11;Drama;Comedy:2,Drama:3,NULL:3,Romance:1,Short:2
n9349;Phillippe, Ryan;22;Thriller;Comedy:1,Documentary:1,Drama:6,Family:1,Romance:1,Short:4,Thriller:8
n13838;Delgado, Kim;18;Comedy;Action:1,Adventure:2,Comedy:4,Drama:1,NULL:3,Sci-Fi:3,Short:2,Thriller:2
n8226;Kiyokawa, Motomu;11;Sci-Fi;Action:1,Adventure:2,Animation:1,Fantasy:1,Horror:1,NULL:1,Sci-Fi:3,Thriller:1
n17232;Frith, Rebecca;12;Drama;Comedy:2,Crime:1,Drama:3,NULL:1,Romance:2,Short:2,Thriller:1
n7510;Costas, Bob;17;Comedy;Action:2,Comedy:3,Documentary:8,Family:1,NULL:3
n14497;Brochu, Daniel;18;Animation;Action:1,Animation:3,Comedy:1,Drama:2,Fantasy:1,Mystery:1,NULL:6,Romance:1,Thriller:2
n7362;Paterson, Bill (I);29;Drama;Crime:1,Documentary:4,Drama:12,Family:1,Music:2,NULL:5,Romance:1,Short:2,Thriller:1
n10001;Beshro, Bobby;14;Drama;Comedy:2,Drama:5,NULL:5,Romance:1,Short:1
n1312;Rodman, Dennis;19;Comedy;Action:2,Adventure:1,Animation:1,Comedy:5,Documentary:1,Drama:1,Music:1,Mystery:1,NULL:5,Thriller:1
n3348;Stapleton, Jean;11;Romance;Documentary:5,Drama:1,Musical:1,Romance:2,Thriller:1,War:1
n14590;McMains, Cody;11;Drama;Comedy:3,Drama:4,Family:1,Fantasy:1,NULL:1,Short:1
n5916;Broich, Margarita;10;Drama;Comedy:1,Crime:1,Drama:3,NULL:2,Romance:2,Sci-Fi:1
n6199;Del Ray, Salena;22;Adult;Adult:17,NULL:3,Sci-Fi:2
n3445;Perkins, Lee;26;Drama;Action:2,Comedy:1,Drama:7,Family:2,Horror:1,NULL:5,Sci-Fi:1,Short:4,Thriller:3
n17212;MacPherson, James (I);15;Crime;Crime:8,Drama:1,Mystery:2,NULL:4
n12665;Monroe, Jarion;15;Sci-Fi;Action:1,Adventure:2,Animation:1,Drama:1,Fantasy:1,Horror:1,NULL:1,Sci-Fi:4,Short:1,Thriller:2
n6687;Wilson, Andrew (III);12;Drama;Comedy:2,Crime:1,Documentary:1,Drama:2,Family:1,Mystery:1,NULL:1,Romance:2,Thriller:1
n9595;Salinas, Jorge;12;Drama;Drama:4,Musical:1,NULL:3,Romance:3,Thriller:1
n15627;Ford, Dawn (I);14;Drama;Crime:1,Drama:5,Family:2,Musical:1,NULL:3,Romance:1,War:1
n8467;Freeman, Rob (I);13;War;Action:1,Adult:1,Comedy:1,Drama:2,NULL:1,Romance:1,Sci-Fi:1,Short:1,Thriller:2,War:2
n8591;Schroeder, Todd (I);11;Drama;Crime:2,Drama:3,Horror:1,NULL:1,Romance:1,Sci-Fi:1,Thriller:2
n12247;Texada, Tia;15;Drama;Crime:1,Drama:7,Family:2,Romance:1,Thriller:4
n10434;Maguire, Oliver;10;Drama;Drama:8,Romance:1,Thriller:1
n12335;Barrio, Sebastian;69;Adult;Adult:54,NULL:11,Romance:1,Short:2,Thriller:1
n14146;César, Carlos;12;Comedy;Comedy:3,Drama:3,NULL:6
n8441;Spence, Bruce;14;Family;Action:2,Adventure:2,Drama:1,Family:2,Music:1,Mystery:1,NULL:1,Sci-Fi:1,Short:1,Thriller:2
n5936;Radszun, Alexander;27;Crime;Action:2,Comedy:1,Crime:11,Drama:5,NULL:5,Thriller:3
n4786;Socas, Maria;10;Romance;Action:1,Drama:2,NULL:3,Romance:3,Thriller:1
n8407;Moll, Richard;33;Comedy;Adventure:1,Animation:1,Comedy:8,Drama:5,Family:2,Fantasy:2,Horror:3,NULL:2,Romance:2,Sci-Fi:3,Short:1,Thriller:3
n12200;Etebari, Eric;11;Mystery;Action:1,Comedy:2,Crime:1,Horror:2,Mystery:3,NULL:1,Short:1
n14861;Merediz, Olga;13;Drama;Adult:1,Comedy:1,Crime:1,Drama:3,Fantasy:1,Music:1,Musical:1,Romance:1,Short:1,Thriller:2
n9092;Montenegro, Fernanda;17;Drama;Documentary:2,Drama:5,Fantasy:1,NULL:5,Romance:3,Thriller:1
n6272;Lake, Christi;66;Adult;Adult:49,Comedy:1,Documentary:2,NULL:13,Sci-Fi:1
n1397;Frierson, Eddie;31;Sci-Fi;Action:3,Animation:5,Comedy:2,Fantasy:4,NULL:5,Romance:1,Sci-Fi:8,Short:2,Thriller:1
n15869;Michael, Sean (I);15;Drama;Action:1,Adventure:1,Comedy:1,Crime:1,Drama:3,Family:1,NULL:6,Thriller:1
n12230;Cook, Dane;12;Comedy;Comedy:5,Crime:1,Documentary:1,NULL:2,Short:2,Thriller:1
n12017;Lee, Robin (I);11;Adult;Adult:9,NULL:2
n7795;Hansen, Gunnar (II);21;Horror;Comedy:1,Documentary:3,Horror:6,NULL:1,Sci-Fi:2,Short:3,Thriller:5
n8860;Stanczak, Wadeck;10;Drama;Adventure:1,Drama:2,Family:1,NULL:5,Thriller:1
