,name,degree_weighted_g0,degree_g0,ActorName,movies_95_04,main_genre,Short,Action,Crime,Mystery,Documentary,Horror,Sci-Fi,Comedy,Animation,Family,Fantasy,Thriller,Western,Adult,Romance,Adventure,War,Drama,Musical,Music,max_triangles,betweenness,closeness,pagerank,eigenvector
6510,n16276,32.0,13,"O&apos;Brien, Margaret",14,Drama,0,0,0,0,6,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0.3463203463203463,5574.631439890991,0.08628420298094273,2.9008088758661246e-05,4.508817791811347e-13
6511,n14616,102.0,27,"Mader, Malu",10,Drama,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0.6092307692307692,5228.412748629604,0.11126765052752367,9.698665113963875e-05,3.264791656550664e-09
6512,n10928,31.0,13,"Ho, Josie",23,Comedy,1,1,0,0,0,2,1,6,0,0,0,0,0,0,1,0,0,5,0,0,0.44137931034482764,10376.02900461579,0.10940203083866115,3.069342414365281e-05,6.819663108119561e-08
6513,n14375,17.0,7,"Greenwald, Nora",34,Action,0,21,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.7993914366442079,62.57548436573119,0.09058871767191044,2.393445262359516e-05,7.346353494400747e-11
6514,n16756,7.0,3,"Fitzpatrick, Colleen (I)",15,Drama,0,0,0,0,2,3,0,3,0,0,1,0,0,0,0,0,0,4,0,2,0.16363636363636364,65.8911354665394,0.08339624444550624,2.262955562156573e-05,2.569731900025419e-14
6515,n3036,192.0,61,"Root, Amanda",13,Drama,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,6,0,0,0.0,57152.235750224594,0.10100811351983241,0.00019796552579385776,1.3335995440670617e-11
6516,n9279,24.0,12,"Rye, Douglas",17,Sci-Fi,0,2,1,0,0,0,6,0,4,0,0,1,0,0,0,2,1,0,0,0,0.49345488546049554,9671.683969086715,0.10990837819967886,3.4392197516828175e-05,1.479033004365222e-08
6517,n10380,46.0,17,"Knight, Nyrobi",32,Adult,0,0,0,0,0,0,1,0,0,0,0,0,0,30,0,0,0,1,0,0,0.558599695585997,15781.98360559739,0.11584026335176176,3.694963595583152e-05,2.809115615128731e-06
6518,n5970,13.0,6,"Billingslea, Beau",49,Sci-Fi,0,7,0,0,1,0,10,1,7,1,3,5,0,0,2,0,2,5,0,0,0.5054470709146968,307.3185069905824,0.08397240370644779,2.3697306863115003e-05,1.035056409520825e-14
6519,n1769,211.0,59,"Schallert, William",12,Sci-Fi,0,0,0,0,4,1,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0.5555555555555556,710.2579873563864,0.09986782704224385,4.3986424314535536e-05,2.1325423071427985e-06
6520,n4891,14.0,7,"O&apos;Rourke, Shaun (II)",11,Drama,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,2,0,0,,5845.2046237846525,0.11443369939354205,2.3761350536342657e-05,1.521020673536959e-07
6521,n8529,241.0,71,"Mathis, Lynn",10,Family,0,0,0,0,0,1,0,0,0,3,1,2,1,0,0,0,0,1,0,0,0.3,2356.0703991442,0.11055231821636687,5.71442372747322e-05,1.0475450632007377e-07
6522,n14920,19.0,8,"Olds, Gabriel",12,Drama,0,0,0,0,1,1,1,0,0,0,0,2,0,0,1,0,1,5,0,0,,391.11876517888317,0.09486178897137951,1.3391205962911154e-05,4.6723978640893995e-08
